PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,Name,Transported,TotalWastes,CrewSize
0001_01,Europa,0,B/0/P,TRAPPIST-1e,39.0,0,Maham Ofracculy,0,0.0,1
0002_01,Earth,0,F/0/S,TRAPPIST-1e,24.0,0,Juanna Vines,1,736.0,1
0003_01,Europa,0,A/0/S,TRAPPIST-1e,58.0,1,Altark Susent,0,10383.0,2
0003_02,Europa,0,A/0/S,TRAPPIST-1e,33.0,0,Solam Susent,0,5176.0,2
0004_01,Earth,0,F/1/S,TRAPPIST-1e,16.0,0,Willy Santantines,1,1091.0,1
0005_01,Earth,0,F/0/P,PSO J318.5-22,44.0,0,Sandie Hinetthews,1,774.0,1
0006_01,Earth,0,F/2/S,TRAPPIST-1e,26.0,0,Billex Jacostaffey,1,1584.0,1
0006_02,Earth,1,G/0/S,TRAPPIST-1e,28.0,0,Candra Jacostaffey,1,304.8547912992357,1
0007_01,Earth,0,F/3/S,TRAPPIST-1e,35.0,0,Andona Beston,1,1018.0,1
0008_01,Europa,1,B/1/P,55 Cancri e,14.0,0,Erraiam Flatic,1,0.0,3
0008_02,Europa,1,B/1/P,TRAPPIST-1e,34.0,0,Altardr Flatic,1,173.72916912197996,3
0008_03,Europa,0,B/1/P,55 Cancri e,45.0,0,Wezena Flatic,1,8157.0,3
0009_01,Mars,0,F/1/P,TRAPPIST-1e,32.0,0,Berers Barne,1,1309.0,1
0010_01,Earth,0,G/1/S,TRAPPIST-1e,48.0,0,Reney Baketton,0,809.0,1
0011_01,Earth,0,F/2/P,TRAPPIST-1e,28.0,0,Elle Bertsontry,1,1003.0,1
0012_01,Earth,0,G/734/S,TRAPPIST-1e,31.0,0,Justie Pooles,0,908.0,207
0014_01,Mars,0,F/3/P,55 Cancri e,27.0,0,Flats Eccle,0,1581.72916912198,1
0015_01,Earth,0,F/4/P,55 Cancri e,24.0,0,Carry Hughriend,0,638.0,1
0016_01,Mars,1,F/5/P,TRAPPIST-1e,45.0,0,Alus Upead,1,0.0,1
0017_01,Earth,0,G/0/P,TRAPPIST-1e,0.0,0,Lyde Brighttt,1,0.0,1
0017_02,Earth,0,F/6/P,55 Cancri e,14.0,0,Philda Brighttt,0,1092.0,1
0020_01,Earth,1,E/0/S,TRAPPIST-1e,1.0,0,Almary Brantuarez,0,0.0,6
0020_02,Earth,1,E/0/S,55 Cancri e,49.0,0,Glendy Brantuarez,0,0.0,6
0020_03,Earth,1,E/0/S,55 Cancri e,29.0,0,Mollen Mcfaddennon,0,173.72916912197996,6
0020_04,Earth,0,E/0/S,TRAPPIST-1e,10.0,0,Breney Jacostanley,1,0.0,6
0020_05,Earth,1,E/0/S,PSO J318.5-22,1.0,0,Mael Brantuarez,0,224.687617481203,6
0020_06,Earth,0,E/0/S,TRAPPIST-1e,7.0,0,Terta Mcfaddennon,0,0.0,6
0022_01,Mars,0,D/0/P,TRAPPIST-1e,21.0,0,Alraium Disivering,0,1051.0,1
0024_01,Europa,1,C/2/S,TRAPPIST-1e,62.0,0,Penton Fullided,1,173.72916912197996,1
